route_id,route_name,length_km,avg_trip_time_min,num_stops,current_peak_freq,current_offpeak_freq,route_category,priority_score,depot_id
9,Uruli Railway Station - Hadapsar Gadital,27.1,96.4,67,1,1,suburban,0.522,Hadapsar
VJR1,Dhayari Maruti Mandir - Hadapsar Gadital,21.7,79.1,57,1,1,trunk,0.652,Hadapsar
VJR2,Kesnand Phata - Warje Malwadi,29.4,103.2,67,1,1,suburban,0.264,Maan-Hinjewadi
VJR3,Hadapsar Gadital - Kothrud Depot,17.9,62.6,42,1,1,trunk,0.539,Hadapsar
VJR4,Vishrantwadi - Kothrud Depot,15.9,58.1,41,2,1,trunk,1.0,Kothrud
VJR5,Mukai Chowk - Ma Na Pa,20.6,66.1,51,2,2,trunk,0.463,Shewalewadi
VJR6,Hinjawadi Maan Phase 3 - Bhosari,24.0,89.4,64,2,1,suburban,0.536,Bhosari
VJR2A,Kothrud Stand - Kesnand Phata,25.4,97.2,67,2,1,suburban,0.204,Kothrud
14A,Kesnand Phata - Swargate,19.4,65.8,50,2,1,trunk,0.103,Swargate
58B,Swargate - Police Ground,4.5,20.7,10,1,1,feeder,0.111,Swargate
103D,Katraj - MIT College,12.5,42.0,31,1,1,trunk,0.281,Katraj
363B,Sainagar Mamurdi - Nigdi,8.5,25.4,19,2,1,trunk,0.524,Nigdi
293S,Salunke Vihar - Khed Shivapur,21.9,72.5,56,1,1,trunk,0.482,Charholi
139S,Salunke Vihar - Bhakti Shakti,26.5,95.6,61,1,1,suburban,0.441,Aundh
135 NGT,Kesnand Phata - Pune Station,15.3,50.5,36,1,1,trunk,0.91,Bhosari
117 NGT,Dhayari GaonTo Swargate - ,9.3,31.5,26,1,1,trunk,0.132,Swargate
174 NGT,Kondhwa Gate - Pune Station,18.8,63.8,42,1,1,trunk,0.674,Dhankawadi
348 NGT,Bhakti Shakti - Pune Station,24.0,83.1,57,1,1,suburban,0.865,Hadapsar
12 NGT,Bhakti Shakti - Swargate,23.0,76.9,60,1,1,suburban,0.063,Swargate
158B,Ma Na Pa - D.Y. Patil Vidhypith Lohgaon,17.9,65.0,37,2,1,trunk,0.479,Katraj
19D,Trinity College - Shivajinagar,18.1,68.5,43,2,1,trunk,0.49,Kothrud
253,Vidyanagar - Upper Depot,22.8,78.7,56,1,1,suburban,0.563,Nigdi
