fleet_size,objective,status,routes_above_3,avg_freq,solve_time
1200,0.0,infeasible,0,0.0,0.5532617568969727
1400,0.0,infeasible,0,0.0,1.0774126052856445
1600,0.0,infeasible,0,0.0,1.0351381301879883
1800,0.0,infeasible,0,0.0,1.0606369972229004
2000,26226.007083333356,Optimal,356,1.7441176470588236,7.290945529937744
2200,23082.24416666671,Optimal,559,1.9470588235294117,14.74808645248413
2400,20694.01416666673,Optimal,773,2.133455882352941,14.080117225646973
2600,18640.36124999991,Optimal,997,2.3033088235294117,67.44246935844421
