equity_threshold,total_wait,avg_priority_freq,num_binding,feasible,solve_time
1,13758.259166666641,2.304054054054054,25,True,4.990977764129639
2,13820.244999999968,2.358108108108108,200,True,3.493337869644165
3,15823.161666666634,3.02027027027027,290,True,3.217302083969116
4,0.0,0.0,0,False,0.5988643169403076
5,0.0,0.0,0,False,0.0
6,0.0,0.0,0,False,0.0
8,0.0,0.0,0,False,0.0
10,0.0,0.0,0,False,0.0
