priority_rule,n_priority_routes,priority_share,wait_no_equity,wait_current_equity,equity_cost_pass_hr,equity_cost_pct
strict,1,0.001838235294117647,24399.765833333364,24411.750833333357,11.984999999993306,0.04911932385687154
conservative,95,0.17463235294117646,24283.145000000055,26129.691666666702,1846.546666666647,7.604231933988134
current,97,0.17830882352941177,24276.046666666723,26226.007083333356,1949.9604166666322,8.032446318140053
