route_id,period,frequency,buses_assigned
126A,midday,3,4
126A,PM_peak,2,3
126A,evening,3,4
126B,early_morning,1,3
126B,AM_peak,1,3
126B,midday,1,3
126B,PM_peak,1,3
126B,evening,1,3
126C,early_morning,2,3
126C,AM_peak,2,3
126C,midday,2,3
126C,PM_peak,2,3
126C,evening,2,3
126,early_morning,2,4
126,AM_peak,3,6
126,midday,2,4
126,PM_peak,3,6
126,evening,2,4
126D,early_morning,4,3
126D,AM_peak,4,3
126D,midday,4,3
126D,PM_peak,4,3
126D,evening,4,3
128,early_morning,2,6
128,AM_peak,1,3
128,midday,2,6
128,PM_peak,1,3
128,evening,2,6
129,early_morning,2,5
129,AM_peak,3,7
129,midday,2,5
129,PM_peak,3,7
129,evening,2,5
12,early_morning,1,4
12,AM_peak,1,4
12,midday,1,4
12,PM_peak,1,4
12,evening,1,4
130A,early_morning,2,2
130A,AM_peak,2,2
130A,midday,2,2
130A,PM_peak,2,2
130A,evening,2,2
130,early_morning,2,5
130,AM_peak,1,3
130,midday,2,5
130,PM_peak,1,3
130,evening,2,5
132A,early_morning,2,4
132A,AM_peak,1,2
132A,midday,2,4
132A,PM_peak,1,2
132A,evening,2,4
132,early_morning,2,3
132,AM_peak,2,3
132,midday,2,3
132,PM_peak,2,3
132,evening,2,3
133A,early_morning,1,2
133A,AM_peak,1,2
133A,midday,1,2
133A,PM_peak,1,2
133A,evening,1,2
133,early_morning,2,4
133,AM_peak,2,4
133,midday,2,4
133,PM_peak,1,2
133,evening,2,4
133B,early_morning,2,4
133B,AM_peak,2,4
133B,midday,2,4
133B,PM_peak,2,4
133B,evening,2,4
134,early_morning,2,3
134,AM_peak,3,4
134,midday,2,3
134,PM_peak,3,4
134,evening,2,3
135A,early_morning,2,3
135A,AM_peak,2,3
135A,midday,2,3
135A,PM_peak,2,3
135A,evening,2,3
135,early_morning,1,3
135,AM_peak,3,9
135,midday,1,3
135,PM_peak,3,9
135,evening,1,3
136A,early_morning,2,4
136A,AM_peak,1,2
136A,midday,2,4
136A,PM_peak,1,2
136A,evening,2,4
136,early_morning,2,7
136,AM_peak,3,11
136,midday,2,7
136,PM_peak,3,11
136,evening,2,7
139A,early_morning,1,4
139A,AM_peak,1,4
139A,midday,1,4
139A,PM_peak,1,4
139A,evening,1,4
139,early_morning,1,4
139,AM_peak,1,4
139,midday,1,4
139,PM_peak,1,4
139,evening,1,4
13A,early_morning,2,4
13A,AM_peak,1,2
13A,midday,2,4
13A,PM_peak,1,2
13A,evening,2,4
13B,early_morning,2,4
13B,AM_peak,2,4
13B,midday,2,4
13B,PM_peak,2,4
13B,evening,2,4
13C,early_morning,2,4
13C,AM_peak,1,2
13C,midday,2,4
13C,PM_peak,1,2
13C,evening,2,4
13,early_morning,2,3
13,AM_peak,2,3
13,midday,2,3
13,PM_peak,2,3
13,evening,2,3
13L,early_morning,2,3
13L,AM_peak,2,3
13L,midday,2,3
13L,PM_peak,2,3
13L,evening,2,3
140,early_morning,2,3
140,AM_peak,3,5
140,midday,2,3
140,PM_peak,3,5
140,evening,2,3
141A,early_morning,2,2
141A,AM_peak,2,2
141A,midday,2,2
141A,PM_peak,2,2
141A,evening,2,2
141,early_morning,2,4
141,AM_peak,3,5
141,midday,2,4
141,PM_peak,3,5
141,evening,2,4
142,early_morning,1,4
142,AM_peak,3,12
142,midday,1,4
142,PM_peak,3,12
142,evening,1,4
143A,early_morning,2,3
143A,AM_peak,3,5
143A,midday,2,3
143A,PM_peak,3,5
143A,evening,2,3
143,early_morning,3,5
143,AM_peak,3,5
143,midday,3,5
143,PM_peak,3,5
143,evening,3,5
144A,early_morning,2,4
144A,AM_peak,3,6
144A,midday,2,4
144A,PM_peak,3,6
144A,evening,2,4
144B,early_morning,1,3
144B,AM_peak,1,3
144B,midday,1,3
144B,PM_peak,1,3
144B,evening,1,3
144,early_morning,2,3
144,AM_peak,3,5
144,midday,2,3
144,PM_peak,3,5
144,evening,2,3
144D,early_morning,2,3
144D,AM_peak,3,5
144D,midday,2,3
144D,PM_peak,3,5
144D,evening,2,3
144K,early_morning,2,3
144K,AM_peak,3,4
144K,midday,2,3
144K,PM_peak,3,4
144K,evening,2,3
145A,early_morning,1,4
145A,AM_peak,3,10
145A,midday,1,4
145A,PM_peak,3,10
145A,evening,1,4
145B,early_morning,2,4
145B,AM_peak,1,2
145B,midday,2,4
145B,PM_peak,1,2
145B,evening,2,4
