Ward Name,Census Ward Number,No of House Holds,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST
Bibvewadi,139,7860,35527,18605,16922,5297,2763,2534,11068,5675,5393,443,241,202
Bibvewadi,140,10236,45476,24182,21294,6911,3580,3331,7231,3718,3513,670,351,319
Bibvewadi,Bibvewadi Total,68013,291446,150421,141025,36718,19103,17615,36436,18643,17793,2757,1482,1275
Dhankawadi,132,6145,26685,13836,12849,2981,1623,1358,4387,2242,2145,314,175,139
Dhankawadi,133,5711,23888,12745,11143,3128,1672,1456,2578,1343,1235,361,189,172
Dhankawadi,134,5953,25148,13034,12114,2570,1387,1183,1783,904,879,161,81,80
Dhankawadi,135,3765,15030,7757,7273,1335,729,606,1107,573,534,95,45,50
Dhankawadi,136,4808,19916,10335,9581,1830,998,832,1023,504,519,50,29,21
Dhankawadi,141,9712,41214,21539,19675,5514,2922,2592,4722,2442,2280,964,472,492
Dhankawadi,142,4113,17067,8821,8246,1806,963,843,1341,663,678,109,55,54
Dhankawadi,143,10168,40938,21214,19724,4343,2306,2037,2561,1305,1256,435,213,222
Dhankawadi,144,6307,26762,14135,12627,3742,2028,1714,2619,1342,1277,375,197,178
Dhankawadi,Dhankawadi Total,56682,236648,123416,113232,27249,14628,12621,22121,11318,10803,2864,1456,1408
Yewalewadi,1,1733,7685,4137,3548,1257,679,578,1369,723,646,104,57,47
Yewalewadi,Yewalewadi Total,1733,7685,4137,3548,1257,679,578,1369,723,646,104,57,47
